dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,significant
abundance_cirrhosis--stagevalidation,TabPFN,densification,0.135,0.9173,0.8485,0.0687,0.0872,False
abundance_cirrhosis--stagevalidation,TabPFN,densification,0.26,0.9173,0.8976,0.0196,0.5849,False
abundance_cirrhosis--stagevalidation,TabPFN,densification,0.384,0.9173,0.9299,-0.0126,0.773,False
abundance_cirrhosis--stagevalidation,TabPFN,densification,0.509,0.9173,0.9523,-0.0351,0.3681,False
abundance_cirrhosis--stagevalidation,TabPFN,densification,0.634,0.9173,0.9439,-0.0266,0.4635,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=1 / highest_abundance,0.9173,0.9229,-0.0056,0.4488,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=109 / highest_abundance,0.9173,0.8906,0.0266,0.626,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=131 / highest_abundance,0.9173,0.8121,0.1052,0.139,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=153 / highest_abundance,0.9173,0.7896,0.1276,0.0911,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=175 / highest_abundance,0.9173,0.7532,0.1641,0.0353,True
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=197 / highest_abundance,0.9173,0.7658,0.1515,0.0547,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=22 / highest_abundance,0.9173,0.899,0.0182,0.5926,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=44 / highest_abundance,0.9173,0.8934,0.0238,0.598,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=66 / highest_abundance,0.9173,0.8373,0.0799,0.1687,False
abundance_cirrhosis--stagevalidation,TabPFN,remove_features,k=88 / highest_abundance,0.9173,0.8668,0.0505,0.3579,False
abundance_cirrhosis--stagevalidation,TabPFN,sparsity,0.797,0.9173,0.9088,0.0084,0.4448,False
abundance_cirrhosis--stagevalidation,TabPFN,sparsity,0.836,0.9173,0.906,0.0112,0.4438,False
abundance_cirrhosis--stagevalidation,TabPFN,sparsity,0.874,0.9173,0.8906,0.0266,0.2234,False
abundance_cirrhosis--stagevalidation,TabPFN,sparsity,0.913,0.9173,0.864,0.0533,0.1045,False
abundance_cirrhosis--stagevalidation,TabPFN,sparsity,0.951,0.9173,0.7994,0.1178,0.0165,True
abundance_cirrhosis--stagevalidation,XGBoost,densification,0.135,0.892,0.8513,0.0407,0.3426,False
abundance_cirrhosis--stagevalidation,XGBoost,densification,0.26,0.892,0.8471,0.0449,0.3193,False
abundance_cirrhosis--stagevalidation,XGBoost,densification,0.384,0.892,0.9018,-0.0098,0.8008,False
abundance_cirrhosis--stagevalidation,XGBoost,densification,0.509,0.892,0.9116,-0.0196,0.5644,False
abundance_cirrhosis--stagevalidation,XGBoost,densification,0.634,0.892,0.9271,-0.0351,0.2874,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=1 / highest_abundance,0.892,0.8934,-0.0014,0.9413,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=109 / highest_abundance,0.892,0.8289,0.0631,0.2259,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=131 / highest_abundance,0.892,0.8226,0.0694,0.2003,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=153 / highest_abundance,0.892,0.8135,0.0785,0.1718,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=175 / highest_abundance,0.892,0.7777,0.1143,0.0522,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=197 / highest_abundance,0.892,0.7917,0.1003,0.1196,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=22 / highest_abundance,0.892,0.8738,0.0182,0.6381,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=44 / highest_abundance,0.892,0.8569,0.0351,0.4177,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=66 / highest_abundance,0.892,0.8072,0.0849,0.1156,False
abundance_cirrhosis--stagevalidation,XGBoost,remove_features,k=88 / highest_abundance,0.892,0.8303,0.0617,0.1859,False
abundance_cirrhosis--stagevalidation,XGBoost,sparsity,0.797,0.892,0.8864,0.0056,0.8874,False
abundance_cirrhosis--stagevalidation,XGBoost,sparsity,0.836,0.892,0.8415,0.0505,0.2873,False
abundance_cirrhosis--stagevalidation,XGBoost,sparsity,0.874,0.892,0.7868,0.1052,0.0567,False
abundance_cirrhosis--stagevalidation,XGBoost,sparsity,0.913,0.892,0.7833,0.1087,0.0649,False
abundance_cirrhosis--stagevalidation,XGBoost,sparsity,0.951,0.892,0.7244,0.1676,0.0133,True
abundance_ibd,ContextTab,densification,0.135,0.9028,0.7758,0.1271,0.0046,True
abundance_ibd,ContextTab,densification,0.261,0.9028,0.7774,0.1254,0.0031,True
abundance_ibd,ContextTab,densification,0.386,0.9028,0.8155,0.0873,0.0276,True
abundance_ibd,ContextTab,densification,0.511,0.9028,0.8805,0.0224,0.4328,False
abundance_ibd,ContextTab,densification,0.637,0.9028,0.9144,-0.0115,0.5359,False
abundance_ibd,ContextTab,remove_features,k=1 / highest_abundance,0.9028,0.8998,0.0031,0.474,False
abundance_ibd,ContextTab,remove_features,k=123 / highest_abundance,0.9028,0.8073,0.0955,0.0364,True
abundance_ibd,ContextTab,remove_features,k=147 / highest_abundance,0.9028,0.8191,0.0838,0.0215,True
abundance_ibd,ContextTab,remove_features,k=172 / highest_abundance,0.9028,0.8332,0.0696,0.0733,False
abundance_ibd,ContextTab,remove_features,k=196 / highest_abundance,0.9028,0.8339,0.0689,0.0557,False
abundance_ibd,ContextTab,remove_features,k=221 / highest_abundance,0.9028,0.8358,0.0671,0.0511,False
abundance_ibd,ContextTab,remove_features,k=25 / highest_abundance,0.9028,0.8859,0.0169,0.3331,False
abundance_ibd,ContextTab,remove_features,k=49 / highest_abundance,0.9028,0.8944,0.0085,0.773,False
abundance_ibd,ContextTab,remove_features,k=74 / highest_abundance,0.9028,0.8367,0.0661,0.0492,True
abundance_ibd,ContextTab,remove_features,k=98 / highest_abundance,0.9028,0.8214,0.0814,0.0592,False
abundance_ibd,ContextTab,sparsity,0.8,0.9028,0.8911,0.0118,0.4995,False
abundance_ibd,ContextTab,sparsity,0.838,0.9028,0.8715,0.0313,0.1347,False
abundance_ibd,ContextTab,sparsity,0.876,0.9028,0.8732,0.0296,0.2536,False
abundance_ibd,ContextTab,sparsity,0.914,0.9028,0.8492,0.0536,0.1391,False
abundance_ibd,ContextTab,sparsity,0.952,0.9028,0.7927,0.1101,0.0101,True
abundance_ibd,RF,densification,0.135,0.8762,0.7002,0.176,0.0007,True
abundance_ibd,RF,densification,0.261,0.8762,0.7831,0.0932,0.0387,True
abundance_ibd,RF,densification,0.386,0.8762,0.7711,0.1052,0.0103,True
abundance_ibd,RF,densification,0.511,0.8762,0.8398,0.0365,0.1905,False
abundance_ibd,RF,densification,0.637,0.8762,0.8807,-0.0045,0.8427,False
abundance_ibd,RF,remove_features,k=1 / highest_abundance,0.8762,0.8722,0.004,0.8681,False
abundance_ibd,RF,remove_features,k=123 / highest_abundance,0.8762,0.736,0.1402,0.0018,True
abundance_ibd,RF,remove_features,k=147 / highest_abundance,0.8762,0.7828,0.0934,0.0135,True
abundance_ibd,RF,remove_features,k=172 / highest_abundance,0.8762,0.7365,0.1398,0.0005,True
abundance_ibd,RF,remove_features,k=196 / highest_abundance,0.8762,0.7687,0.1075,0.0048,True
abundance_ibd,RF,remove_features,k=221 / highest_abundance,0.8762,0.7967,0.0795,0.0176,True
abundance_ibd,RF,remove_features,k=25 / highest_abundance,0.8762,0.8191,0.0572,0.1486,False
abundance_ibd,RF,remove_features,k=49 / highest_abundance,0.8762,0.7904,0.0859,0.0696,False
abundance_ibd,RF,remove_features,k=74 / highest_abundance,0.8762,0.7852,0.0911,0.0302,True
abundance_ibd,RF,remove_features,k=98 / highest_abundance,0.8762,0.7529,0.1233,0.0028,True
abundance_ibd,RF,sparsity,0.8,0.8762,0.8774,-0.0012,0.953,False
abundance_ibd,RF,sparsity,0.838,0.8762,0.8819,-0.0056,0.8428,False
abundance_ibd,RF,sparsity,0.876,0.8762,0.8706,0.0056,0.8768,False
abundance_ibd,RF,sparsity,0.914,0.8762,0.8075,0.0687,0.1509,False
abundance_ibd,RF,sparsity,0.952,0.8762,0.7736,0.1026,0.0614,False
abundance_ibd,TabDPT,densification,0.135,0.7986,0.6089,0.1896,0.0086,True
abundance_ibd,TabDPT,densification,0.261,0.7986,0.5953,0.2033,0.0091,True
abundance_ibd,TabDPT,densification,0.386,0.7986,0.5096,0.2889,0.0001,True
abundance_ibd,TabDPT,densification,0.511,0.7986,0.5473,0.2513,0.0002,True
abundance_ibd,TabDPT,densification,0.637,0.7986,0.6899,0.1087,0.0805,False
abundance_ibd,TabDPT,remove_features,k=1 / highest_abundance,0.7746,0.7624,0.0122,0.6597,False
abundance_ibd,TabDPT,remove_features,k=123 / highest_abundance,0.7746,0.6136,0.1609,0.0365,True
abundance_ibd,TabDPT,remove_features,k=147 / highest_abundance,0.7746,0.5741,0.2005,0.005,True
abundance_ibd,TabDPT,remove_features,k=172 / highest_abundance,0.7746,0.6584,0.1162,0.1422,False
abundance_ibd,TabDPT,remove_features,k=196 / highest_abundance,0.7746,0.6127,0.1619,0.0304,True
abundance_ibd,TabDPT,remove_features,k=221 / highest_abundance,0.7746,0.5638,0.2108,0.0065,True
abundance_ibd,TabDPT,remove_features,k=25 / highest_abundance,0.7746,0.7769,-0.0024,0.9565,False
abundance_ibd,TabDPT,remove_features,k=49 / highest_abundance,0.7746,0.6264,0.1482,0.0298,True
abundance_ibd,TabDPT,remove_features,k=74 / highest_abundance,0.7746,0.64,0.1346,0.0936,False
abundance_ibd,TabDPT,remove_features,k=98 / highest_abundance,0.7746,0.6682,0.1064,0.0963,False
abundance_ibd,TabDPT,sparsity,0.8,0.7986,0.8409,-0.0424,0.3825,False
abundance_ibd,TabDPT,sparsity,0.838,0.7986,0.8536,-0.0551,0.3033,False
abundance_ibd,TabDPT,sparsity,0.876,0.7986,0.8433,-0.0447,0.3927,False
abundance_ibd,TabDPT,sparsity,0.914,0.7986,0.8311,-0.0325,0.5485,False
abundance_ibd,TabDPT,sparsity,0.952,0.7986,0.8306,-0.032,0.5547,False
abundance_ibd,TabICL,densification,0.135,0.8739,0.5995,0.2744,0.0,True
abundance_ibd,TabICL,densification,0.261,0.8739,0.6188,0.2551,0.0,True
abundance_ibd,TabICL,densification,0.386,0.8739,0.6932,0.1807,0.0013,True
abundance_ibd,TabICL,densification,0.511,0.8739,0.7948,0.0791,0.1297,False
abundance_ibd,TabICL,densification,0.637,0.8739,0.8348,0.0391,0.3283,False
abundance_ibd,TabICL,remove_features,k=1 / highest_abundance,0.8739,0.8814,-0.0075,0.3521,False
abundance_ibd,TabICL,remove_features,k=123 / highest_abundance,0.8739,0.7934,0.0805,0.0222,True
abundance_ibd,TabICL,remove_features,k=147 / highest_abundance,0.8739,0.7981,0.0758,0.0055,True
abundance_ibd,TabICL,remove_features,k=172 / highest_abundance,0.8739,0.8099,0.064,0.0553,False
abundance_ibd,TabICL,remove_features,k=196 / highest_abundance,0.8739,0.8113,0.0626,0.0663,False
abundance_ibd,TabICL,remove_features,k=221 / highest_abundance,0.8739,0.8259,0.048,0.1356,False
abundance_ibd,TabICL,remove_features,k=25 / highest_abundance,0.8739,0.8711,0.0028,0.8762,False
abundance_ibd,TabICL,remove_features,k=49 / highest_abundance,0.8739,0.8635,0.0104,0.621,False
abundance_ibd,TabICL,remove_features,k=74 / highest_abundance,0.8739,0.8094,0.0645,0.0274,True
abundance_ibd,TabICL,remove_features,k=98 / highest_abundance,0.8739,0.8296,0.0442,0.0859,False
abundance_ibd,TabICL,sparsity,0.8,0.8739,0.8758,-0.0019,0.9091,False
abundance_ibd,TabICL,sparsity,0.838,0.8739,0.8786,-0.0047,0.8224,False
abundance_ibd,TabICL,sparsity,0.876,0.8739,0.8616,0.0122,0.5978,False
abundance_ibd,TabICL,sparsity,0.914,0.8739,0.8344,0.0395,0.1867,False
abundance_ibd,TabICL,sparsity,0.952,0.8739,0.7859,0.088,0.0435,True
abundance_ibd,TabPFN,densification,0.135,0.9195,0.6616,0.2579,0.0001,True
abundance_ibd,TabPFN,densification,0.261,0.9195,0.7162,0.2033,0.0005,True
abundance_ibd,TabPFN,densification,0.386,0.9195,0.7896,0.1299,0.0034,True
abundance_ibd,TabPFN,densification,0.511,0.9195,0.8447,0.0748,0.0971,False
abundance_ibd,TabPFN,densification,0.637,0.9195,0.904,0.0155,0.517,False
abundance_ibd,TabPFN,remove_features,k=1 / highest_abundance,0.9195,0.9191,0.0005,0.9303,False
abundance_ibd,TabPFN,remove_features,k=123 / highest_abundance,0.9195,0.7812,0.1384,0.0102,True
abundance_ibd,TabPFN,remove_features,k=147 / highest_abundance,0.9195,0.8066,0.1129,0.0038,True
abundance_ibd,TabPFN,remove_features,k=172 / highest_abundance,0.9195,0.7929,0.1266,0.0035,True
abundance_ibd,TabPFN,remove_features,k=196 / highest_abundance,0.9195,0.7915,0.128,0.0023,True
abundance_ibd,TabPFN,remove_features,k=221 / highest_abundance,0.9195,0.8071,0.1125,0.0052,True
abundance_ibd,TabPFN,remove_features,k=25 / highest_abundance,0.9195,0.8607,0.0588,0.0024,True
abundance_ibd,TabPFN,remove_features,k=49 / highest_abundance,0.9195,0.8941,0.0254,0.4353,False
abundance_ibd,TabPFN,remove_features,k=74 / highest_abundance,0.9195,0.8358,0.0838,0.0449,True
abundance_ibd,TabPFN,remove_features,k=98 / highest_abundance,0.9195,0.8268,0.0927,0.0244,True
abundance_ibd,TabPFN,sparsity,0.8,0.9195,0.8974,0.0221,0.3523,False
abundance_ibd,TabPFN,sparsity,0.838,0.9195,0.8814,0.0381,0.1987,False
abundance_ibd,TabPFN,sparsity,0.876,0.9195,0.8607,0.0588,0.0893,False
abundance_ibd,TabPFN,sparsity,0.914,0.9195,0.8362,0.0833,0.0404,True
abundance_ibd,TabPFN,sparsity,0.952,0.9195,0.7835,0.136,0.0093,True
abundance_ibd,XGBoost,densification,0.135,0.7581,0.6866,0.0715,0.235,False
abundance_ibd,XGBoost,densification,0.261,0.7581,0.6936,0.0645,0.2341,False
abundance_ibd,XGBoost,densification,0.386,0.7581,0.6419,0.1162,0.0278,True
abundance_ibd,XGBoost,densification,0.511,0.7581,0.7511,0.0071,0.8292,False
abundance_ibd,XGBoost,densification,0.637,0.7581,0.7506,0.0075,0.7011,False
abundance_ibd,XGBoost,remove_features,k=1 / highest_abundance,0.7581,0.7506,0.0075,0.5781,False
abundance_ibd,XGBoost,remove_features,k=123 / highest_abundance,0.7581,0.6692,0.0889,0.2801,False
abundance_ibd,XGBoost,remove_features,k=147 / highest_abundance,0.7581,0.7134,0.0447,0.5292,False
abundance_ibd,XGBoost,remove_features,k=172 / highest_abundance,0.7581,0.6734,0.0847,0.2528,False
abundance_ibd,XGBoost,remove_features,k=196 / highest_abundance,0.7581,0.7327,0.0254,0.7089,False
abundance_ibd,XGBoost,remove_features,k=221 / highest_abundance,0.7581,0.7515,0.0066,0.9257,False
abundance_ibd,XGBoost,remove_features,k=25 / highest_abundance,0.7581,0.7398,0.0184,0.6337,False
abundance_ibd,XGBoost,remove_features,k=49 / highest_abundance,0.7581,0.7671,-0.0089,0.8752,False
abundance_ibd,XGBoost,remove_features,k=74 / highest_abundance,0.7581,0.7064,0.0518,0.4715,False
abundance_ibd,XGBoost,remove_features,k=98 / highest_abundance,0.7581,0.696,0.0621,0.4277,False
abundance_ibd,XGBoost,sparsity,0.8,0.7581,0.8089,-0.0508,0.2928,False
abundance_ibd,XGBoost,sparsity,0.838,0.7581,0.7995,-0.0414,0.498,False
abundance_ibd,XGBoost,sparsity,0.876,0.7581,0.7774,-0.0193,0.771,False
abundance_ibd,XGBoost,sparsity,0.914,0.7581,0.7292,0.0289,0.6981,False
abundance_ibd,XGBoost,sparsity,0.952,0.7581,0.6835,0.0746,0.2864,False
abundance_obesity,ContextTab,densification,0.139,0.6635,0.5387,0.1247,0.0026,True
abundance_obesity,ContextTab,densification,0.267,0.6635,0.5434,0.1201,0.0018,True
abundance_obesity,ContextTab,densification,0.396,0.6635,0.5838,0.0796,0.0206,True
abundance_obesity,ContextTab,densification,0.524,0.6635,0.6108,0.0527,0.0917,False
abundance_obesity,ContextTab,densification,0.653,0.6635,0.6084,0.0551,0.0366,True
abundance_obesity,ContextTab,remove_features,k=1 / highest_abundance,0.6635,0.6719,-0.0084,0.069,False
abundance_obesity,ContextTab,remove_features,k=103 / highest_abundance,0.6635,0.6165,0.047,0.1979,False
abundance_obesity,ContextTab,remove_features,k=129 / highest_abundance,0.6635,0.6059,0.0576,0.1155,False
abundance_obesity,ContextTab,remove_features,k=155 / highest_abundance,0.6635,0.6183,0.0452,0.2175,False
abundance_obesity,ContextTab,remove_features,k=180 / highest_abundance,0.6635,0.6385,0.025,0.4794,False
abundance_obesity,ContextTab,remove_features,k=206 / highest_abundance,0.6635,0.6283,0.0352,0.3663,False
abundance_obesity,ContextTab,remove_features,k=232 / highest_abundance,0.6635,0.6226,0.0409,0.2868,False
abundance_obesity,ContextTab,remove_features,k=26 / highest_abundance,0.6635,0.6865,-0.023,0.2913,False
abundance_obesity,ContextTab,remove_features,k=52 / highest_abundance,0.6635,0.6671,-0.0036,0.9057,False
abundance_obesity,ContextTab,remove_features,k=78 / highest_abundance,0.6635,0.6241,0.0394,0.2928,False
abundance_obesity,ContextTab,sparsity,0.816,0.6635,0.6508,0.0126,0.5512,False
abundance_obesity,ContextTab,sparsity,0.851,0.6635,0.5955,0.068,0.02,True
abundance_obesity,ContextTab,sparsity,0.886,0.6635,0.5797,0.0838,0.0173,True
abundance_obesity,ContextTab,sparsity,0.92,0.6635,0.5628,0.1007,0.0115,True
abundance_obesity,ContextTab,sparsity,0.955,0.6635,0.5424,0.1211,0.0053,True
abundance_obesity,RF,densification,0.139,0.6384,0.5664,0.072,0.0873,False
abundance_obesity,RF,densification,0.267,0.6384,0.5758,0.0626,0.1462,False
abundance_obesity,RF,densification,0.396,0.6384,0.5881,0.0503,0.1818,False
abundance_obesity,RF,densification,0.524,0.6384,0.6131,0.0253,0.4009,False
abundance_obesity,RF,densification,0.653,0.6384,0.5998,0.0386,0.0756,False
abundance_obesity,RF,remove_features,k=1 / highest_abundance,0.6384,0.6502,-0.0118,0.6596,False
abundance_obesity,RF,remove_features,k=103 / highest_abundance,0.6384,0.6068,0.0316,0.4508,False
abundance_obesity,RF,remove_features,k=129 / highest_abundance,0.6384,0.6337,0.0047,0.9142,False
abundance_obesity,RF,remove_features,k=155 / highest_abundance,0.6384,0.6434,-0.005,0.9076,False
abundance_obesity,RF,remove_features,k=180 / highest_abundance,0.6384,0.6538,-0.0154,0.7108,False
abundance_obesity,RF,remove_features,k=206 / highest_abundance,0.6384,0.6534,-0.015,0.7329,False
abundance_obesity,RF,remove_features,k=232 / highest_abundance,0.6384,0.6199,0.0185,0.6742,False
abundance_obesity,RF,remove_features,k=26 / highest_abundance,0.6384,0.6585,-0.0201,0.5575,False
abundance_obesity,RF,remove_features,k=52 / highest_abundance,0.6384,0.6265,0.0119,0.7773,False
abundance_obesity,RF,remove_features,k=78 / highest_abundance,0.6384,0.6277,0.0107,0.8054,False
abundance_obesity,RF,sparsity,0.816,0.6384,0.6209,0.0175,0.5525,False
abundance_obesity,RF,sparsity,0.851,0.6384,0.6197,0.0187,0.5731,False
abundance_obesity,RF,sparsity,0.886,0.6384,0.587,0.0513,0.1873,False
abundance_obesity,RF,sparsity,0.92,0.6384,0.5775,0.0609,0.1494,False
abundance_obesity,RF,sparsity,0.955,0.6384,0.5681,0.0703,0.1168,False
abundance_obesity,TabDPT,densification,0.139,0.6129,0.4969,0.116,0.03,True
abundance_obesity,TabDPT,densification,0.267,0.6129,0.4916,0.1213,0.0129,True
abundance_obesity,TabDPT,densification,0.396,0.6129,0.4775,0.1354,0.0078,True
abundance_obesity,TabDPT,densification,0.524,0.6129,0.4663,0.1466,0.0033,True
abundance_obesity,TabDPT,densification,0.653,0.6129,0.5846,0.0283,0.5055,False
abundance_obesity,TabDPT,remove_features,k=1 / highest_abundance,0.6117,0.6143,-0.0025,0.8685,False
abundance_obesity,TabDPT,remove_features,k=103 / highest_abundance,0.6117,0.5543,0.0574,0.1428,False
abundance_obesity,TabDPT,remove_features,k=129 / highest_abundance,0.6117,0.5604,0.0514,0.1782,False
abundance_obesity,TabDPT,remove_features,k=155 / highest_abundance,0.6117,0.5386,0.0732,0.0728,False
abundance_obesity,TabDPT,remove_features,k=180 / highest_abundance,0.6117,0.5817,0.03,0.4433,False
abundance_obesity,TabDPT,remove_features,k=206 / highest_abundance,0.6117,0.5876,0.0241,0.5837,False
abundance_obesity,TabDPT,remove_features,k=232 / highest_abundance,0.6117,0.5784,0.0333,0.4556,False
abundance_obesity,TabDPT,remove_features,k=26 / highest_abundance,0.6117,0.58,0.0318,0.2434,False
abundance_obesity,TabDPT,remove_features,k=52 / highest_abundance,0.6117,0.5452,0.0665,0.0281,True
abundance_obesity,TabDPT,remove_features,k=78 / highest_abundance,0.6117,0.5362,0.0755,0.0474,True
abundance_obesity,TabDPT,sparsity,0.816,0.6129,0.6415,-0.0286,0.3073,False
abundance_obesity,TabDPT,sparsity,0.851,0.6129,0.6085,0.0044,0.8934,False
abundance_obesity,TabDPT,sparsity,0.886,0.6129,0.6357,-0.0227,0.5058,False
abundance_obesity,TabDPT,sparsity,0.92,0.6129,0.6239,-0.011,0.7789,False
abundance_obesity,TabDPT,sparsity,0.955,0.6129,0.6235,-0.0106,0.8032,False
abundance_obesity,TabICL,densification,0.139,0.6973,0.5621,0.1352,0.0024,True
abundance_obesity,TabICL,densification,0.267,0.6973,0.572,0.1253,0.0039,True
abundance_obesity,TabICL,densification,0.396,0.6973,0.5719,0.1254,0.0022,True
abundance_obesity,TabICL,densification,0.524,0.6973,0.6158,0.0815,0.0309,True
abundance_obesity,TabICL,densification,0.653,0.6973,0.6513,0.046,0.1197,False
abundance_obesity,TabICL,remove_features,k=1 / highest_abundance,0.6973,0.6903,0.007,0.4113,False
abundance_obesity,TabICL,remove_features,k=103 / highest_abundance,0.6973,0.6745,0.0228,0.387,False
abundance_obesity,TabICL,remove_features,k=129 / highest_abundance,0.6973,0.6748,0.0225,0.4061,False
abundance_obesity,TabICL,remove_features,k=155 / highest_abundance,0.6973,0.6493,0.048,0.1225,False
abundance_obesity,TabICL,remove_features,k=180 / highest_abundance,0.6973,0.6465,0.0508,0.0934,False
abundance_obesity,TabICL,remove_features,k=206 / highest_abundance,0.6973,0.6503,0.047,0.1607,False
abundance_obesity,TabICL,remove_features,k=232 / highest_abundance,0.6973,0.6241,0.0732,0.0511,False
abundance_obesity,TabICL,remove_features,k=26 / highest_abundance,0.6973,0.6942,0.0031,0.8614,False
abundance_obesity,TabICL,remove_features,k=52 / highest_abundance,0.6973,0.6736,0.0237,0.3173,False
abundance_obesity,TabICL,remove_features,k=78 / highest_abundance,0.6973,0.6628,0.0345,0.1967,False
abundance_obesity,TabICL,sparsity,0.816,0.6973,0.6865,0.0108,0.5626,False
abundance_obesity,TabICL,sparsity,0.851,0.6973,0.6544,0.0429,0.0988,False
abundance_obesity,TabICL,sparsity,0.886,0.6973,0.6261,0.0712,0.0224,True
abundance_obesity,TabICL,sparsity,0.92,0.6973,0.6139,0.0834,0.016,True
abundance_obesity,TabICL,sparsity,0.955,0.6973,0.5981,0.0992,0.0082,True
abundance_obesity,TabPFN,densification,0.139,0.6315,0.5573,0.0742,0.0727,False
abundance_obesity,TabPFN,densification,0.267,0.6315,0.6,0.0316,0.4133,False
abundance_obesity,TabPFN,densification,0.396,0.6315,0.6264,0.0051,0.8896,False
abundance_obesity,TabPFN,densification,0.524,0.6315,0.6113,0.0203,0.5262,False
abundance_obesity,TabPFN,densification,0.653,0.6315,0.5824,0.0491,0.0275,True
abundance_obesity,TabPFN,remove_features,k=1 / highest_abundance,0.6315,0.627,0.0046,0.6312,False
abundance_obesity,TabPFN,remove_features,k=103 / highest_abundance,0.6315,0.6027,0.0288,0.481,False
abundance_obesity,TabPFN,remove_features,k=129 / highest_abundance,0.6315,0.5988,0.0327,0.4289,False
abundance_obesity,TabPFN,remove_features,k=155 / highest_abundance,0.6315,0.5841,0.0474,0.2717,False
abundance_obesity,TabPFN,remove_features,k=180 / highest_abundance,0.6315,0.5953,0.0362,0.3926,False
abundance_obesity,TabPFN,remove_features,k=206 / highest_abundance,0.6315,0.5659,0.0656,0.1446,False
abundance_obesity,TabPFN,remove_features,k=232 / highest_abundance,0.6315,0.5771,0.0544,0.2254,False
abundance_obesity,TabPFN,remove_features,k=26 / highest_abundance,0.6315,0.6345,-0.0029,0.9072,False
abundance_obesity,TabPFN,remove_features,k=52 / highest_abundance,0.6315,0.6151,0.0164,0.6435,False
abundance_obesity,TabPFN,remove_features,k=78 / highest_abundance,0.6315,0.6207,0.0108,0.7926,False
abundance_obesity,TabPFN,sparsity,0.816,0.6315,0.6156,0.016,0.4558,False
abundance_obesity,TabPFN,sparsity,0.851,0.6315,0.6063,0.0252,0.375,False
abundance_obesity,TabPFN,sparsity,0.886,0.6315,0.5961,0.0354,0.3314,False
abundance_obesity,TabPFN,sparsity,0.92,0.6315,0.5926,0.0389,0.3292,False
abundance_obesity,TabPFN,sparsity,0.955,0.6315,0.5795,0.0521,0.2164,False
abundance_obesity,XGBoost,densification,0.139,0.6272,0.6001,0.0271,0.4347,False
abundance_obesity,XGBoost,densification,0.267,0.6272,0.5865,0.0407,0.2381,False
abundance_obesity,XGBoost,densification,0.396,0.6272,0.5904,0.0369,0.2329,False
abundance_obesity,XGBoost,densification,0.524,0.6272,0.6149,0.0123,0.6254,False
abundance_obesity,XGBoost,densification,0.653,0.6272,0.5908,0.0364,0.0806,False
abundance_obesity,XGBoost,remove_features,k=1 / highest_abundance,0.6272,0.6241,0.0032,0.8444,False
abundance_obesity,XGBoost,remove_features,k=103 / highest_abundance,0.6272,0.6488,-0.0215,0.5891,False
abundance_obesity,XGBoost,remove_features,k=129 / highest_abundance,0.6272,0.5945,0.0327,0.4472,False
abundance_obesity,XGBoost,remove_features,k=155 / highest_abundance,0.6272,0.6328,-0.0056,0.8949,False
abundance_obesity,XGBoost,remove_features,k=180 / highest_abundance,0.6272,0.6137,0.0136,0.7522,False
abundance_obesity,XGBoost,remove_features,k=206 / highest_abundance,0.6272,0.5776,0.0497,0.2802,False
abundance_obesity,XGBoost,remove_features,k=232 / highest_abundance,0.6272,0.5464,0.0808,0.0947,False
abundance_obesity,XGBoost,remove_features,k=26 / highest_abundance,0.6272,0.626,0.0012,0.9733,False
abundance_obesity,XGBoost,remove_features,k=52 / highest_abundance,0.6272,0.6287,-0.0015,0.9698,False
abundance_obesity,XGBoost,remove_features,k=78 / highest_abundance,0.6272,0.6196,0.0077,0.8537,False
abundance_obesity,XGBoost,sparsity,0.816,0.6272,0.6091,0.0181,0.5408,False
abundance_obesity,XGBoost,sparsity,0.851,0.6272,0.6106,0.0166,0.6432,False
abundance_obesity,XGBoost,sparsity,0.886,0.6272,0.5715,0.0558,0.1797,False
abundance_obesity,XGBoost,sparsity,0.92,0.6272,0.5717,0.0555,0.2276,False
abundance_obesity,XGBoost,sparsity,0.955,0.6272,0.5393,0.0879,0.0647,False
abundance_t2d,ContextTab,densification,0.147,0.7521,0.6558,0.0963,0.0001,True
abundance_t2d,ContextTab,densification,0.283,0.7521,0.6595,0.0926,0.0002,True
abundance_t2d,ContextTab,densification,0.42,0.7521,0.659,0.0931,0.0001,True
abundance_t2d,ContextTab,densification,0.556,0.7521,0.671,0.0811,0.0002,True
